date,agent_id,queue,talk_time_sec,hold_time_sec,acw_time_sec,aht_sec
2024-03-08,A064,Retention,618,55,143,817
2024-02-04,A096,Support,366,60,107,534
2024-03-24,A108,Retention,426,47,92,566
2024-01-30,A060,Support,413,53,119,586
2024-01-02,A046,Support,476,53,54,584
2024-03-24,A033,Support,396,49,134,580
2024-01-26,A062,Support,402,58,96,557
2024-03-03,A066,Support,428,63,68,560
2024-02-28,A014,Support,523,63,42,629
2024-03-14,A043,Support,439,78,44,562
2024-01-21,A033,Support,449,54,37,541
2024-01-22,A046,Retention,437,30,23,491
2024-01-31,A011,Support,287,69,107,464
2024-01-15,A025,Retention,427,86,118,632
2024-02-19,A011,Support,445,58,134,638
2024-01-31,A041,Support,463,59,109,632
2024-01-22,A052,Retention,639,64,109,813
2024-02-13,A043,Support,328,87,76,492
2024-02-14,A114,Support,367,38,128,534
2024-03-26,A103,Retention,582,45,58,687
2024-03-14,A039,Retention,548,42,97,689
2024-03-15,A012,Support,434,55,96,586
2024-03-09,A015,Retention,588,75,113,778
2024-01-03,A060,Support,351,24,129,504
2024-01-11,A108,Retention,533,80,130,743
2024-01-07,A046,Retention,526,25,106,658
2024-02-27,A088,Retention,575,63,113,753
2024-02-07,A108,Support,418,58,74,550
2024-02-17,A010,Retention,479,69,45,594
2024-03-12,A023,Support,421,52,55,530
2024-01-17,A095,Support,428,68,60,556
2024-01-18,A039,Retention,551,88,85,726
2024-02-14,A117,Retention,525,77,93,697
2024-02-13,A018,Support,465,56,120,642
2024-01-31,A018,Support,552,45,105,703
2024-03-05,A104,Retention,426,70,103,600
2024-01-12,A071,Retention,521,71,110,703
2024-02-27,A112,Support,424,74,130,629
2024-01-10,A120,Support,524,40,49,614
2024-03-26,A083,Support,511,29,76,618
2024-01-30,A120,Retention,547,15,92,655
2024-02-08,A050,Support,491,38,79,609
2024-01-05,A037,Support,399,63,48,511
2024-02-29,A077,Support,423,61,140,624
2024-02-15,A038,Support,439,63,86,589
2024-02-07,A061,Retention,490,49,76,617
2024-02-10,A011,Retention,525,34,112,673
2024-03-25,A039,Retention,487,50,124,663
2024-02-05,A059,Retention,588,55,134,778
2024-02-05,A060,Support,499,43,148,691
2024-02-05,A016,Support,357,80,70,508
2024-02-28,A099,Retention,477,35,106,619
2024-03-14,A092,Support,291,66,42,401
2024-03-10,A036,Support,429,36,71,537
2024-01-26,A092,Support,350,76,68,495
2024-02-09,A067,Retention,569,38,98,706
2024-02-07,A120,Support,320,69,99,489
2024-03-01,A111,Retention,456,66,15,539
2024-03-22,A097,Support,439,65,105,611
2024-01-22,A092,Support,436,40,-30,446
2024-02-13,A057,Retention,485,49,104,639
2024-03-19,A061,Support,402,72,85,560
2024-03-11,A066,Retention,513,60,72,645
2024-02-25,A051,Retention,545,48,76,670
2024-01-02,A059,Retention,510,89,120,720
2024-03-21,A082,Retention,610,72,132,816
2024-02-03,A032,Support,411,59,110,580
2024-03-11,A043,Retention,510,53,106,670
2024-01-20,A061,Support,372,87,117,578
2024-01-28,A076,Retention,630,70,72,773
2024-01-24,A022,Retention,644,55,137,837
2024-02-23,A097,Retention,550,84,35,670
2024-02-15,A016,Retention,469,83,115,668
2024-03-22,A099,Support,419,26,80,525
2024-03-20,A115,Support,395,79,108,583
2024-01-05,A060,Support,341,57,132,531
2024-01-22,A098,Retention,609,41,81,731
2024-03-21,A118,Support,459,60,115,635
2024-01-15,A013,Retention,499,87,83,670
2024-01-13,A106,Retention,592,48,105,747
2024-02-12,A102,Retention,638,54,58,751
2024-02-20,A016,Support,534,45,90,670
2024-03-09,A104,Retention,604,62,94,760
2024-01-01,A050,Retention,430,22,123,576
2024-03-07,A059,Retention,508,42,87,637
2024-01-17,A003,Support,446,59,66,572
2024-03-10,A110,Retention,597,28,74,700
2024-03-14,A061,Retention,525,64,65,655
2024-02-08,A103,Retention,506,49,169,726
2024-02-15,A065,Support,432,72,87,592
2024-03-10,A051,Retention,589,82,82,754
2024-02-18,A009,Support,466,75,17,559
2024-02-04,A044,Retention,488,71,46,607
2024-01-21,A098,Retention,527,54,104,687
2024-01-04,A096,Retention,547,33,122,703
2024-02-17,A117,Retention,468,70,111,650
2024-03-27,A014,Retention,488,67,92,648
2024-03-05,A081,Support,480,60,91,633
2024-01-17,A014,Support,387,76,34,497
2024-02-03,A064,Retention,487,78,82,648
2024-02-27,A056,Support,361,46,126,534
2024-02-16,A112,Retention,592,65,130,787
2024-01-28,A051,Retention,511,42,67,622
2024-02-12,A012,Support,370,71,135,577
2024-03-09,A003,Retention,575,34,123,732
2024-01-31,A096,Retention,484,70,115,670
2024-02-18,A107,Retention,583,67,76,727
2024-02-14,A011,Support,355,87,57,499
2024-03-01,A022,Support,436,85,90,612
2024-03-22,A090,Support,385,65,102,553
2024-02-04,A011,Retention,461,69,117,648
2024-01-08,A010,Retention,576,49,67,693
2024-01-03,A116,Retention,460,50,119,630
2024-03-28,A119,Retention,467,27,81,576
2024-03-25,A107,Retention,461,66,88,616
2024-03-29,A023,Retention,546,71,130,748
2024-03-18,A079,Retention,506,47,96,650
2024-01-17,A079,Support,423,58,125,607
2024-02-24,A102,Retention,532,75,113,720
2024-02-24,A109,Retention,571,82,58,711
2024-02-13,A092,Retention,509,93,117,720
2024-03-28,A032,Retention,482,48,91,621
2024-01-14,A073,Support,436,45,72,554
2024-03-20,A058,Retention,590,38,60,690
2024-02-14,A098,Support,416,44,63,524
2024-02-13,A028,Retention,526,67,93,687
2024-01-15,A048,Retention,606,107,37,751
2024-01-12,A055,Support,482,56,122,661
2024-02-10,A053,Retention,574,48,63,686
2024-02-08,A007,Retention,510,47,81,639
2024-01-27,A120,Support,360,38,77,476
2024-01-08,A054,Support,418,85,102,606
2024-02-16,A005,Support,431,19,31,481
2024-02-16,A043,Support,379,95,100,575
2024-03-09,A093,Retention,430,62,76,569
2024-01-01,A083,Support,434,61,115,611
2024-02-10,A108,Retention,490,118,145,754
2024-02-09,A013,Support,311,49,91,452
2024-03-02,A044,Support,435,86,107,629
2024-02-03,A046,Retention,523,67,100,692
2024-03-16,A093,Retention,498,40,100,639
2024-03-13,A016,Retention,532,62,106,701
2024-03-24,A048,Retention,559,72,96,728
2024-01-03,A077,Support,319,58,106,484
