date,interval,queue,offered_calls,answered_calls,abandoned_calls
2024-01-01,8:00,Support,33,31,2
2024-01-01,8:00,Retention,19,19,0
2024-01-01,8:30,Support,37,36,1
2024-01-01,8:30,Retention,14,14,0
2024-01-01,9:00,Support,31,30,1
2024-01-01,9:00,Retention,15,15,0
2024-01-01,9:30,Support,31,30,1
2024-01-01,9:30,Retention,22,21,1
2024-01-01,10:00,Support,37,35,2
2024-01-01,10:00,Retention,13,12,1
2024-01-01,10:30,Support,31,29,2
2024-01-01,10:30,Retention,17,16,1
2024-01-01,11:00,Support,30,29,1
2024-01-01,11:00,Retention,18,18,0
2024-01-01,11:30,Support,25,25,0
2024-01-01,11:30,Retention,16,16,0
2024-01-01,12:00,Support,41,39,2
2024-01-01,12:00,Retention,18,17,1
2024-01-01,12:30,Support,40,39,1
2024-01-01,12:30,Retention,22,21,1
2024-01-01,13:00,Support,40,38,2
2024-01-01,13:00,Retention,20,20,0
2024-01-01,13:30,Support,32,30,2
2024-01-01,13:30,Retention,18,17,1
2024-01-01,14:00,Support,40,37,3
2024-01-01,14:00,Retention,18,17,1
2024-01-01,14:30,Support,32,30,2
2024-01-01,14:30,Retention,15,14,1
2024-01-01,15:00,Support,30,29,1
2024-01-01,15:00,Retention,22,20,2
2024-01-01,15:30,Support,41,38,3
2024-01-01,15:30,Retention,18,17,1
2024-01-01,16:00,Support,32,31,1
2024-01-01,16:00,Retention,17,16,1
2024-01-01,16:30,Support,33,32,1
2024-01-01,16:30,Retention,16,16,0
2024-01-01,17:00,Support,35,34,1
2024-01-01,17:00,Retention,15,15,0
2024-01-01,17:30,Support,31,29,2
2024-01-01,17:30,Retention,18,18,0
2024-01-01,18:00,Support,44,43,1
2024-01-01,18:00,Retention,14,13,1
2024-01-01,18:30,Support,30,29,1
2024-01-01,18:30,Retention,20,19,1
2024-01-01,19:00,Support,32,31,1
2024-01-01,19:00,Retention,19,19,0
2024-01-01,19:30,Support,35,33,2
2024-01-01,19:30,Retention,13,13,0
2024-01-01,20:00,Support,47,45,2
2024-01-01,20:00,Retention,24,23,1
2024-01-01,20:30,Support,41,39,2
2024-01-01,20:30,Retention,14,13,1
2024-01-02,8:00,Support,44,42,2
2024-01-02,8:00,Retention,16,15,1
2024-01-02,8:30,Support,43,40,3
2024-01-02,8:30,Retention,11,10,1
2024-01-02,9:00,Support,37,36,1
2024-01-02,9:00,Retention,20,20,0
2024-01-02,9:30,Support,36,34,2
2024-01-02,9:30,Retention,14,14,0
2024-01-02,10:00,Support,32,30,2
2024-01-02,10:00,Retention,23,22,1
2024-01-02,10:30,Support,26,25,1
2024-01-02,10:30,Retention,17,16,1
2024-01-02,11:00,Support,41,39,2
2024-01-02,11:00,Retention,18,17,1
2024-01-02,11:30,Support,31,29,2
2024-01-02,11:30,Retention,16,15,1
2024-01-02,12:00,Support,34,31,3
2024-01-02,12:00,Retention,23,22,1
2024-01-02,12:30,Support,42,41,1
2024-01-02,12:30,Retention,21,21,0
2024-01-02,13:00,Support,27,25,2
2024-01-02,13:00,Retention,21,20,1
2024-01-02,13:30,Support,32,30,2
2024-01-02,13:30,Retention,25,24,1
2024-01-02,14:00,Support,41,38,3
2024-01-02,14:00,Retention,16,16,0
2024-01-02,14:30,Support,36,34,2
2024-01-02,14:30,Retention,18,17,1
2024-01-02,15:00,Support,17,16,1
2024-01-02,15:00,Retention,16,15,1
2024-01-02,15:30,Support,40,38,2
2024-01-02,15:30,Retention,11,11,0
2024-01-02,16:00,Support,36,34,2
2024-01-02,16:00,Retention,16,16,0
2024-01-02,16:30,Support,34,33,1
2024-01-02,16:30,Retention,21,21,0
2024-01-02,17:00,Support,28,27,1
2024-01-02,17:00,Retention,21,20,1
2024-01-02,17:30,Support,36,34,2
2024-01-02,17:30,Retention,15,14,1
2024-01-02,18:00,Support,21,20,1
2024-01-02,18:00,Retention,21,21,0
