date,call_id,queue,csat_score,resolution_flag
2024-01-15,C000000,Retention,5,True
2024-02-20,C000001,Retention,4,True
2024-03-17,C000002,Support,3,False
2024-03-12,C000003,Retention,5,True
2024-01-16,C000004,Support,5,True
2024-02-22,C000005,Retention,4,True
2024-02-16,C000006,Support,3,False
2024-03-12,C000007,Retention,4,True
2024-03-22,C000008,Support,5,True
2024-03-15,C000009,Retention,4,True
2024-03-19,C000010,Support,4,True
2024-01-20,C000011,Support,4,True
2024-03-15,C000012,Support,3,False
2024-01-14,C000013,Support,4,True
2024-03-14,C000014,Support,3,False
2024-02-20,C000015,Support,5,True
2024-02-03,C000016,Support,5,True
2024-03-02,C000017,Retention,4,True
2024-02-27,C000018,Retention,4,True
2024-03-15,C000019,Retention,4,True
2024-02-21,C000020,Support,3,False
2024-01-21,C000021,Retention,3,False
2024-02-08,C000022,Support,3,False
2024-02-23,C000023,Support,3,False
2024-02-08,C000024,Retention,4,True
2024-01-25,C000025,Support,3,False
2024-01-04,C000026,Support,4,True
2024-02-19,C000027,Retention,4,True
2024-03-03,C000028,Retention,5,True
2024-03-30,C000029,Retention,5,True
2024-01-23,C000030,Retention,4,True
2024-01-16,C000031,Support,4,True
2024-01-16,C000032,Support,5,True
2024-03-11,C000033,Retention,4,True
2024-03-06,C000034,Retention,5,True
2024-01-25,C000035,Support,5,True
2024-03-29,C000036,Support,5,True
2024-02-09,C000037,Support,4,True
2024-02-25,C000038,Retention,3,False
2024-01-15,C000039,Retention,3,False
2024-03-05,C000040,Retention,4,True
2024-03-30,C000041,Retention,3,False
2024-03-21,C000042,Support,5,True
2024-01-29,C000043,Support,5,True
2024-01-24,C000044,Retention,4,True
2024-02-05,C000045,Retention,5,True
2024-03-26,C000046,Retention,5,True
2024-02-19,C000047,Support,4,True
2024-01-17,C000048,Support,3,False
2024-02-28,C000049,Retention,4,True
2024-03-11,C000050,Retention,4,True
2024-01-15,C000051,Support,4,True
2024-01-01,C000052,Support,4,True
2024-01-28,C000053,Retention,4,True
2024-03-08,C000054,Retention,4,True
2024-02-02,C000055,Support,3,False
2024-02-17,C000056,Retention,5,True
2024-03-15,C000057,Support,5,True
2024-01-09,C000058,Support,4,True
2024-01-03,C000059,Retention,3,False
2024-02-29,C000060,Support,5,True
2024-03-27,C000061,Retention,3,False
2024-01-22,C000062,Retention,4,True
2024-03-08,C000063,Support,4,True
2024-03-29,C000064,Retention,4,True
2024-01-15,C000065,Retention,5,True
2024-01-27,C000066,Retention,3,False
2024-03-25,C000067,Retention,4,True
2024-02-20,C000068,Retention,4,True
2024-01-24,C000069,Support,4,True
2024-03-24,C000070,Retention,4,True
2024-02-10,C000071,Support,4,True
2024-02-06,C000072,Retention,4,True
2024-02-03,C000073,Support,4,True
2024-01-17,C000074,Support,5,True
2024-01-01,C000075,Retention,3,False
2024-02-25,C000076,Retention,4,True
2024-01-02,C000077,Retention,5,True
2024-01-22,C000078,Retention,4,True
2024-01-27,C000079,Retention,4,True
2024-01-06,C000080,Support,4,True
2024-03-25,C000081,Support,4,True
2024-02-15,C000082,Support,4,True
2024-01-17,C000083,Support,5,True
2024-02-11,C000084,Support,4,True
2024-01-28,C000085,Retention,3,False
2024-03-18,C000086,Support,4,True
2024-03-04,C000087,Retention,3,False
2024-03-28,C000088,Retention,4,True
2024-01-03,C000089,Retention,3,False
2024-02-01,C000090,Retention,4,True
2024-01-24,C000091,Retention,3,False
2024-03-08,C000092,Support,4,True
2024-03-01,C000093,Support,4,True
2024-02-15,C000094,Retention,4,True
2024-02-02,C000095,Support,4,True
2024-03-08,C000096,Retention,4,True
2024-01-16,C000097,Support,4,True
2024-02-26,C000098,Support,4,True
2024-01-30,C000099,Retention,4,True
2024-01-05,C000100,Support,3,False
2024-03-24,C000101,Support,5,True
2024-02-12,C000102,Support,5,True
2024-03-30,C000103,Support,4,True
2024-01-23,C000104,Support,3,False
2024-03-11,C000105,Support,4,True
2024-03-03,C000106,Retention,4,True
2024-03-24,C000107,Retention,4,True
2024-03-22,C000108,Retention,5,True
2024-02-22,C000109,Retention,3,False
2024-02-03,C000110,Support,4,True
2024-03-02,C000111,Retention,5,True
2024-01-11,C000112,Support,4,True
2024-03-05,C000113,Retention,4,True
2024-01-07,C000114,Retention,4,True
2024-01-26,C000115,Retention,2,False
2024-03-14,C000116,Retention,3,False
2024-01-24,C000117,Support,4,True
2024-02-03,C000118,Support,4,True
2024-02-11,C000119,Retention,4,True
2024-01-10,C000120,Retention,4,True
2024-01-13,C000121,Support,4,True
2024-03-30,C000122,Support,4,True
2024-01-17,C000123,Retention,4,True
2024-03-11,C000124,Retention,5,True
2024-03-22,C000125,Retention,3,False
2024-03-04,C000126,Support,3,False
2024-01-10,C000127,Support,5,True
2024-03-16,C000128,Support,5,True
2024-01-16,C000129,Support,4,True
2024-02-10,C000130,Support,3,False
2024-01-12,C000131,Support,4,True
2024-03-12,C000132,Support,3,False
2024-03-09,C000133,Retention,3,False
2024-02-14,C000134,Support,4,True
2024-02-26,C000135,Support,5,True
2024-03-07,C000136,Support,4,True
2024-03-06,C000137,Support,4,True
2024-02-07,C000138,Support,4,True
2024-02-28,C000139,Retention,5,True
2024-02-13,C000140,Retention,3,False
2024-02-02,C000141,Support,4,True
2024-03-17,C000142,Retention,4,True
2024-03-14,C000143,Retention,4,True
2024-02-29,C000144,Retention,4,True
2024-01-13,C000145,Retention,4,True
2024-02-29,C000146,Support,4,True
2024-03-07,C000147,Retention,4,True
2024-01-25,C000148,Support,4,True
2024-03-21,C000149,Retention,5,True
2024-03-25,C000150,Retention,4,True
2024-02-06,C000151,Retention,4,True
2024-01-15,C000152,Retention,4,True
2024-03-14,C000153,Support,5,True
2024-03-18,C000154,Retention,4,True
2024-02-17,C000155,Retention,5,True
2024-01-18,C000156,Support,4,True
2024-02-12,C000157,Retention,5,True
2024-03-02,C000158,Support,5,True
2024-02-24,C000159,Retention,3,False
2024-03-25,C000160,Retention,4,True
2024-01-16,C000161,Retention,4,True
2024-01-04,C000162,Retention,3,False
2024-01-06,C000163,Support,4,True
2024-03-17,C000164,Support,5,True
2024-01-24,C000165,Support,5,True
2024-01-31,C000166,Support,3,False
2024-02-16,C000167,Support,3,False
2024-01-21,C000168,Retention,4,True
2024-01-09,C000169,Support,3,False
2024-03-13,C000170,Support,4,True
2024-03-06,C000171,Support,4,True
2024-03-02,C000172,Retention,4,True
2024-03-25,C000173,Retention,3,False
2024-03-23,C000174,Retention,3,False
2024-03-23,C000175,Retention,5,True
2024-02-27,C000176,Support,4,True
2024-02-20,C000177,Retention,2,False
2024-03-18,C000178,Support,4,True
2024-03-22,C000179,Retention,4,True
2024-01-25,C000180,Retention,4,True
2024-01-29,C000181,Support,3,False
2024-03-19,C000182,Support,4,True
2024-03-19,C000183,Support,3,False
2024-03-17,C000184,Retention,5,True
2024-02-15,C000185,Retention,3,False
2024-03-04,C000186,Support,4,True
2024-02-01,C000187,Support,4,True
2024-03-23,C000188,Retention,3,False
2024-03-02,C000189,Retention,4,True
2024-01-25,C000190,Support,5,True
2024-02-07,C000191,Retention,4,True
2024-01-19,C000192,Retention,4,True
2024-02-18,C000193,Support,5,True
2024-01-18,C000194,Retention,3,False
2024-01-05,C000195,Retention,4,True
2024-02-05,C000196,Retention,4,True
2024-01-08,C000197,Retention,3,False
2024-02-24,C000198,Support,4,True
2024-02-24,C000199,Support,4,True
2024-01-03,C000200,Retention,4,True
2024-02-26,C000201,Support,4,True
2024-02-29,C000202,Retention,5,True
2024-03-30,C000203,Support,4,True
2024-02-15,C000204,Support,4,True
2024-01-06,C000205,Retention,4,True
2024-01-15,C000206,Retention,4,True
2024-01-24,C000207,Support,4,True
2024-02-06,C000208,Retention,4,True
2024-01-18,C000209,Support,5,True
2024-02-21,C000210,Support,5,True
2024-01-09,C000211,Retention,3,False
2024-02-08,C000212,Support,4,True
2024-03-17,C000213,Retention,4,True
2024-01-01,C000214,Retention,5,True
2024-02-11,C000215,Retention,4,True
2024-01-08,C000216,Retention,5,True
2024-02-14,C000217,Support,4,True
2024-02-21,C000218,Retention,3,False
2024-01-05,C000219,Support,3,False
2024-01-13,C000220,Support,5,True
2024-03-09,C000221,Retention,4,True
2024-01-20,C000222,Support,4,True
2024-02-18,C000223,Support,5,True
2024-03-08,C000224,Retention,3,False
2024-02-01,C000225,Retention,4,True
2024-02-17,C000226,Support,4,True
2024-01-26,C000227,Support,4,True
2024-01-09,C000228,Support,3,False
2024-02-12,C000229,Support,4,True
2024-03-20,C000230,Retention,5,True
2024-01-27,C000231,Support,5,True
2024-03-24,C000232,Support,4,True
2024-03-04,C000233,Support,3,False
2024-02-18,C000234,Retention,4,True
2024-01-13,C000235,Retention,4,True
2024-03-01,C000236,Support,5,True
2024-03-02,C000237,Support,3,False
2024-02-17,C000238,Support,4,True
2024-02-20,C000239,Retention,4,True
2024-02-08,C000240,Support,5,True
2024-02-13,C000241,Retention,4,True
2024-01-23,C000242,Retention,3,False
2024-01-02,C000243,Support,5,True
2024-03-30,C000244,Support,3,False
2024-01-11,C000245,Support,3,False
2024-03-19,C000246,Retention,3,False
2024-01-11,C000247,Support,4,True
2024-02-01,C000248,Retention,4,True
2024-02-04,C000249,Retention,4,True
2024-02-08,C000250,Support,3,False
2024-02-10,C000251,Retention,4,True
2024-02-04,C000252,Support,4,True
2024-03-27,C000253,Support,3,False
2024-01-12,C000254,Support,3,False
2024-03-06,C000255,Support,5,True
2024-02-23,C000256,Support,5,True
2024-03-04,C000257,Support,4,True
2024-01-21,C000258,Retention,4,True
2024-02-16,C000259,Retention,4,True
2024-01-20,C000260,Retention,4,True
2024-01-01,C000261,Retention,4,True
2024-02-23,C000262,Retention,5,True
2024-01-22,C000263,Retention,5,True
2024-01-30,C000264,Support,4,True
2024-02-10,C000265,Support,5,True
2024-03-14,C000266,Retention,4,True
2024-03-07,C000267,Support,4,True
2024-01-05,C000268,Support,3,False
2024-03-10,C000269,Retention,4,True
2024-03-06,C000270,Support,4,True
2024-01-14,C000271,Retention,5,True
2024-02-01,C000272,Support,3,False
2024-03-25,C000273,Support,4,True
2024-02-25,C000274,Support,4,True
2024-03-05,C000275,Retention,5,True
2024-03-05,C000276,Retention,4,True
2024-01-30,C000277,Retention,4,True
2024-03-28,C000278,Support,4,True
2024-01-24,C000279,Retention,4,True
2024-02-14,C000280,Retention,3,False
2024-03-17,C000281,Retention,4,True
2024-01-08,C000282,Retention,4,True
2024-01-31,C000283,Support,3,False
2024-03-20,C000284,Retention,3,False
2024-02-12,C000285,Retention,4,True
2024-02-05,C000286,Support,5,True
2024-03-05,C000287,Support,4,True
2024-01-15,C000288,Support,4,True
2024-03-21,C000289,Support,4,True
2024-02-01,C000290,Support,4,True
2024-03-09,C000291,Support,4,True
2024-01-03,C000292,Retention,4,True
2024-02-09,C000293,Retention,3,False
2024-03-14,C000294,Support,5,True
2024-02-03,C000295,Retention,4,True
2024-03-23,C000296,Retention,4,True
2024-03-19,C000297,Support,4,True
2024-03-01,C000298,Retention,4,True
2024-01-29,C000299,Retention,4,True
2024-03-03,C000300,Support,4,True
2024-01-12,C000301,Retention,4,True
2024-03-06,C000302,Retention,4,True
2024-01-04,C000303,Support,4,True
2024-01-02,C000304,Support,3,False
2024-03-24,C000305,Support,4,True
2024-01-07,C000306,Retention,4,True
2024-02-10,C000307,Retention,5,True
2024-03-20,C000308,Support,4,True
2024-03-24,C000309,Retention,4,True
2024-03-23,C000310,Support,3,False
2024-02-23,C000311,Retention,4,True
2024-03-22,C000312,Support,4,True
2024-01-09,C000313,Retention,4,True
2024-02-04,C000314,Retention,4,True
2024-01-12,C000315,Retention,4,True
2024-02-24,C000316,Retention,3,False
2024-01-30,C000317,Support,4,True
2024-01-26,C000318,Retention,3,False
2024-01-08,C000319,Support,4,True
2024-02-22,C000320,Support,5,True
2024-02-22,C000321,Support,3,False
2024-03-04,C000322,Support,4,True
2024-01-13,C000323,Retention,4,True
2024-03-13,C000324,Retention,3,False
2024-02-17,C000325,Support,5,True
2024-03-02,C000326,Retention,3,False
2024-01-05,C000327,Support,4,True
2024-03-10,C000328,Retention,3,False
2024-01-06,C000329,Retention,3,False
2024-01-09,C000330,Support,3,False
2024-02-01,C000331,Support,4,True
2024-02-13,C000332,Retention,4,True
2024-02-21,C000333,Retention,3,False
2024-03-10,C000334,Retention,3,False
2024-01-01,C000335,Retention,4,True
2024-02-23,C000336,Retention,3,False
2024-01-31,C000337,Support,4,True
2024-02-27,C000338,Retention,5,True
2024-03-12,C000339,Support,4,True
2024-01-22,C000340,Retention,4,True
2024-02-20,C000341,Retention,4,True
2024-03-30,C000342,Support,4,True
2024-02-26,C000343,Retention,3,False
2024-01-12,C000344,Support,3,False
2024-01-31,C000345,Retention,2,False
2024-03-12,C000346,Retention,5,True
2024-03-08,C000347,Retention,3,False
2024-02-02,C000348,Retention,4,True
2024-03-15,C000349,Support,4,True
2024-02-13,C000350,Support,4,True
2024-03-14,C000351,Support,4,True
2024-01-01,C000352,Support,3,False
2024-03-23,C000353,Retention,4,True
2024-03-25,C000354,Support,4,True
2024-01-10,C000355,Support,4,True
2024-01-05,C000356,Retention,4,True
2024-03-18,C000357,Retention,4,True
2024-02-27,C000358,Retention,4,True
