call_id,agent_id,compliance_score,soft_skills_score,script_adherence,overall_score
C006113,A088,92,73,99,88
C005545,A082,75,87,63,75
C006999,A080,78,92,95,88
C009241,A090,87,78,82,82
C000728,A047,94,79,61,78
C008192,A080,81,70,68,73
C004854,A027,88,88,69,81
C007989,A077,79,82,64,75
C002297,A117,87,91,89,89
C005892,A116,79,96,85,86
C003541,A052,72,65,88,75
C008877,A001,87,87,97,90
C006666,A037,80,94,89,87
C010415,A107,70,68,63,67
C009084,A041,72,93,99,88
C000905,A104,80,82,86,82
C010255,A003,87,81,83,83
C004971,A052,88,99,62,83
C006375,A098,96,99,63,86
C009487,A065,88,97,90,91
C003959,A069,87,77,85,83
C006611,A071,87,86,70,81
C006104,A028,76,88,93,85
C002331,A119,74,72,69,71
C000896,A084,77,98,98,91
C009249,A082,97,88,89,91
C005733,A096,98,98,64,86
C010221,A024,83,66,65,71
C007066,A069,85,74,81,80
C002364,A017,80,66,98,81
C002583,A067,82,66,82,76
C000799,A088,80,67,95,80
C006762,A087,86,97,94,92
C000777,A029,77,65,69,70
C001036,A090,88,88,70,82
C006028,A068,86,76,92,84
C009258,A018,93,90,69,84
C005591,A113,84,93,86,87
C002020,A018,93,66,61,73
C002232,A033,89,85,96,90
C006764,A090,95,66,71,77
C001792,A097,88,87,91,88
C002212,A081,95,91,88,91
C010836,A002,87,92,79,86
C004047,A085,75,89,94,86
C001060,A086,80,85,89,84
C004728,A062,89,88,64,80
C007877,A103,71,77,66,71
C000218,A110,86,83,69,79
C009288,A103,72,71,87,76
C009274,A002,78,78,75,77
C008634,A044,91,79,83,84
C002219,A094,77,94,89,86
C006407,A016,92,82,92,88
C001721,A007,98,78,65,80
C004834,A079,96,71,63,76
C006462,A017,89,84,60,77
C009324,A015,81,82,76,79
C000818,A069,93,79,83,85
C001352,A037,82,77,80,79
C001700,A035,93,86,83,87
C004764,A069,89,78,65,77
C004156,A105,79,74,91,81
C002042,A001,78,72,99,83
C001861,A069,76,96,93,88
C000048,A035,75,72,87,78
C005279,A045,93,84,60,79
C003534,A063,88,91,91,90
C007782,A059,82,69,71,74
C009765,A084,78,95,81,84
C001844,A041,88,92,72,84
C005577,A040,99,68,65,77
C001843,A072,89,97,63,83
C000201,A001,83,93,65,80
C006239,A032,92,88,74,84
C001471,A115,72,77,77,75
C010112,A120,75,97,60,77
C007614,A027,88,84,68,80
C003652,A052,98,78,79,85
C003351,A059,80,92,60,77
C003304,A067,88,92,94,91
C003498,A014,84,73,91,82
C000679,A052,92,99,73,88
C004087,A053,95,88,82,88
C000936,A034,97,84,81,87
C000999,A058,82,67,97,82
C006124,A033,74,79,90,81
C009012,A087,82,77,90,83
C001019,A069,72,76,94,80
C010598,A117,98,95,99,97
C002125,A004,98,81,71,83
C000459,A105,92,71,66,76
C002526,A051,87,76,70,77
C000165,A080,87,70,94,83
C001580,A114,78,91,81,83
C009396,A038,81,71,95,82
C009697,A098,82,70,85,79
C010823,A048,93,69,69,77
C000515,A014,71,99,97,89
C000156,A004,80,66,78,74
C002098,A054,78,70,63,70
C010851,A120,77,80,63,73
C004947,A004,94,92,65,83
C004927,A106,74,74,85,77
C000162,A088,79,71,78,76
C003421,A097,84,65,72,73
C007851,A077,78,84,62,74
C003569,A042,99,88,96,94
C003910,A096,72,80,75,75
C007104,A004,99,73,69,80
C006483,A100,87,84,77,82
